title,rating,year,actors,languages,runtime,url
L'âge d'or,7.2,1930,Gaston Modot; Lya Lys; Caridad de Laberdesque; Max Ernst,French,60,https://www.imdb.com//title/tt0021577/
All Quiet on the Western Front,8.1,1930,Lew Ayres; Louis Wolheim; John Wray; Arnold Lucy,English;French;German;Latin,152,https://www.imdb.com//title/tt0020629/
Hell's Angels,7.3,1930,Ben Lyon; James Hall; Jean Harlow; John Darrow,English;German;French,127,https://www.imdb.com//title/tt0020960/
Animal Crackers,7.4,1930,Groucho Marx; Harpo Marx; Chico Marx; The Marx Brothers,English,97,https://www.imdb.com//title/tt0020640/
Der blaue Engel,7.7,1930,Emil Jannings; Marlene Dietrich; Kurt Gerron; Rosa Valetti,German;English;French,104,https://www.imdb.com//title/tt0020697/
Dr. Jekyll and Mr. Hyde,7.6,1931,Fredric March; Miriam Hopkins; Rose Hobart; Holmes Herbert,English,98,https://www.imdb.com//title/tt0022835/
Frankenstein,7.8,1931,Colin Clive; Mae Clarke; Boris Karloff; John Boles,English;Latin,70,https://www.imdb.com//title/tt0021884/
M - Eine Stadt sucht einen Mörder,8.3,1931,Peter Lorre; Ellen Widmann; Inge Landgut; Otto Wernicke,German,117,https://www.imdb.com//title/tt0022100/
City Lights,8.5,1931,Charles Chaplin; Virginia Cherrill; Florence Lee; Harry Myers,None;English,87,https://www.imdb.com//title/tt0021749/
The Public Enemy,7.6,1931,James Cagney; Jean Harlow; Edward Woods; Joan Blondell,English,83,https://www.imdb.com//title/tt0022286/
Scarface,7.7,1932,Paul Muni; Ann Dvorak; Karen Morley; Osgood Perkins,English,93,https://www.imdb.com//title/tt0023427/
Freaks,7.9,1932,Wallace Ford; Leila Hyams; Olga Baclanova; Roscoe Ates,English;German;French,64,https://www.imdb.com//title/tt0022913/
Otona no miru ehon - Umarete wa mita keredo,7.9,1932,Tatsuo Saitô; Tomio Aoki; Mitsuko Yoshikawa; Hideo Sugawara,None;Japanese,100,https://www.imdb.com//title/tt0023634/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Miriam Hopkins; Kay Francis; Herbert Marshall; Charles Ruggles,English;Italian;French;Russian;Spanish;German,83,https://www.imdb.com//title/tt0023622/
Ik ben een vluchteling,8.2,1932,Paul Muni; Glenda Farrell; Helen Vinson; Noel Francis,English,92,https://www.imdb.com//title/tt0023042/
Das Testament des Dr. Mabuse,7.9,1933,Rudolf Klein-Rogge; Otto Wernicke; Thomy Bourdelle; Gustav Diessl,German;French,122,https://www.imdb.com//title/tt0023563/
King Kong,7.9,1933,Fay Wray; Robert Armstrong; Bruce Cabot; Frank Reicher,English,100,https://www.imdb.com//title/tt0024216/
Gold Diggers of 1933,7.7,1933,Warren William; Joan Blondell; Aline MacMahon; Ruby Keeler,English,97,https://www.imdb.com//title/tt0024069/
Queen Christina,7.6,1933,Greta Garbo; John Gilbert; Ian Keith; Lewis Stone,English;Spanish,99,https://www.imdb.com//title/tt0024481/
De dictator,7.8,1933,Groucho Marx; Harpo Marx; Chico Marx; Zeppo Marx,English,69,https://www.imdb.com//title/tt0023969/
The Gay Divorcee,7.4,1934,Fred Astaire; Ginger Rogers; Alice Brady; Edward Everett Horton,English;French;Italian,107,https://www.imdb.com//title/tt0025164/
Tsarina van Rusland,7.5,1934,Marlene Dietrich; John Lodge; Sam Jaffe; Louise Dresser,English,104,https://www.imdb.com//title/tt0025746/
L'Atalante,7.8,1934,Dita Parlo; Jean Dasté; Gilles Margaritis; Louis Lefebvre,French;Russian,89,https://www.imdb.com//title/tt0024844/
The Thin Man,7.9,1934,William Powell; Myrna Loy; Maureen O'Sullivan; Nat Pendleton,English,91,https://www.imdb.com//title/tt0025878/
Het gebeurde op 'n avond,8.1,1934,Clark Gable; Claudette Colbert; Walter Connolly; Roscoe Karns,English,105,https://www.imdb.com//title/tt0025316/
Top Hat,7.7,1935,Fred Astaire; Ginger Rogers; Edward Everett Horton; Erik Rhodes,English;Italian,101,https://www.imdb.com//title/tt0027125/
Kapitein Blood,7.7,1935,Errol Flynn; Olivia de Havilland; Lionel Atwill; Basil Rathbone,English;French,119,https://www.imdb.com//title/tt0026174/
Bride of Frankenstein,7.8,1935,Boris Karloff; Elsa Lanchester; Colin Clive; Valerie Hobson,English,75,https://www.imdb.com//title/tt0026138/
A Night at the Opera,7.8,1935,Groucho Marx; Chico Marx; Harpo Marx; Kitty Carlisle,English;Italian,96,https://www.imdb.com//title/tt0026778/
A Tale of Two Cities,7.8,1935,Ronald Colman; Elizabeth Allan; Edna May Oliver; Reginald Owen,English,128,https://www.imdb.com//title/tt0027075/
Modern Times,8.5,1936,Charles Chaplin; Paulette Goddard; Henry Bergman; Tiny Sandford,English,87,https://www.imdb.com//title/tt0027977/
My Man Godfrey,8.0,1936,William Powell; Carole Lombard; Alice Brady; Gail Patrick,English;Russian,94,https://www.imdb.com//title/tt0028010/
"Nee, mevrouw, dat nooit!",7.8,1936,Jean Harlow; William Powell; Myrna Loy; Spencer Tracy,English,98,https://www.imdb.com//title/tt0027884/
Dodsworth,7.8,1936,Walter Huston; Ruth Chatterton; Paul Lukas; Mary Astor,English;French;German;Italian,101,https://www.imdb.com//title/tt0027532/
Fury,7.9,1936,Sylvia Sidney; Spencer Tracy; Walter Abel; Bruce Cabot,English,92,https://www.imdb.com//title/tt0027652/
Lost Horizon,7.7,1937,Ronald Colman; Jane Wyatt; Edward Everett Horton; John Howard,English;Mandarin,132,https://www.imdb.com//title/tt0029162/
Die verduivelde waarheid,7.7,1937,Irene Dunne; Cary Grant; Ralph Bellamy; Alexander D'Arcy,English;French;Italian,90,https://www.imdb.com//title/tt0028597/
De stormduivels,8.0,1937,Spencer Tracy; Freddie Bartholomew; Lionel Barrymore; Melvyn Douglas,English;Portuguese,117,https://www.imdb.com//title/tt0028691/
La Grande Illusion,8.1,1937,Jean Gabin; Dita Parlo; Pierre Fresnay; Erich von Stroheim,French;German;English;Russian,113,https://www.imdb.com//title/tt0028950/
Make Way for Tomorrow,8.2,1937,Victor Moore; Beulah Bondi; Fay Bainter; Thomas Mitchell,English,91,https://www.imdb.com//title/tt0029192/
Bringing Up Baby,7.8,1938,Katharine Hepburn; Cary Grant; Charles Ruggles; Walter Catlett,English,102,https://www.imdb.com//title/tt0029947/
The Lady Vanishes,7.8,1938,Margaret Lockwood; Michael Redgrave; Paul Lukas; May Whitty,English;German;French;Italian,96,https://www.imdb.com//title/tt0030341/
Pygmalion,7.8,1938,Leslie Howard; Wendy Hiller; Wilfrid Lawson; Marie Lohr,English,96,https://www.imdb.com//title/tt0030637/
The Adventures of Robin Hood,7.9,1938,Errol Flynn; Olivia de Havilland; Basil Rathbone; Claude Rains,English,102,https://www.imdb.com//title/tt0029843/
Engelen met smerige gezichten,7.9,1938,James Cagney; Pat O'Brien; Humphrey Bogart; Ann Sheridan,English,97,https://www.imdb.com//title/tt0029870/
Gejaagd door de wind,8.2,1939,Clark Gable; Vivien Leigh; Thomas Mitchell; Barbara O'Neil,English,238,https://www.imdb.com//title/tt0031381/
The Wizard of Oz,8.1,1939,Judy Garland; Frank Morgan; Ray Bolger; Bert Lahr,English,102,https://www.imdb.com//title/tt0032138/
Schaduwen uit het verleden,7.9,1939,James Cagney; Humphrey Bogart; Priscilla Lane; Gladys George,English,106,https://www.imdb.com//title/tt0031867/
La règle du jeu,7.9,1939,Marcel Dalio; Nora Gregor; Paulette Dubost; Mila Parély,French;German;English,110,https://www.imdb.com//title/tt0031885/
Mr. Smith Goes to Washington,8.1,1939,James Stewart; Jean Arthur; Claude Rains; Edward Arnold,English,129,https://www.imdb.com//title/tt0031679/
De bronzen godin,7.9,1940,Cary Grant; Katharine Hepburn; James Stewart; Ruth Hussey,English;French,112,https://www.imdb.com//title/tt0032904/
The Grapes of Wrath,8.1,1940,Henry Fonda; Jane Darwell; John Carradine; Charley Grapewin,English,129,https://www.imdb.com//title/tt0032551/
The Shop Around the Corner,8.1,1940,Margaret Sullavan; James Stewart; Frank Morgan; Joseph Schildkraut,English,99,https://www.imdb.com//title/tt0033045/
Rebecca,8.1,1940,Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson,English;French,130,https://www.imdb.com//title/tt0032976/
De dictator,8.4,1940,Charles Chaplin; Paulette Goddard; Jack Oakie; Reginald Gardiner,English;Esperanto;Latin,125,https://www.imdb.com//title/tt0032553/
Citizen Kane,8.3,1941,Orson Welles; Joseph Cotten; Dorothy Comingore; Agnes Moorehead,English;Italian,119,https://www.imdb.com//title/tt0033467/
The Maltese Falcon,8.0,1941,Humphrey Bogart; Mary Astor; Gladys George; Peter Lorre,English,100,https://www.imdb.com//title/tt0033870/
The Little Foxes,7.9,1941,Bette Davis; Herbert Marshall; Teresa Wright; Richard Carlson,English,116,https://www.imdb.com//title/tt0033836/
Sergeant York,7.7,1941,Gary Cooper; Walter Brennan; Joan Leslie; George Tobias,English;French;German,134,https://www.imdb.com//title/tt0034167/
Sullivan's Travels,7.9,1941,Joel McCrea; Veronica Lake; Robert Warwick; William Demarest,English,90,https://www.imdb.com//title/tt0034240/
Gevangenen van 't verleden,7.9,1942,Ronald Colman; Greer Garson; Philip Dorn; Susan Peters,English,126,https://www.imdb.com//title/tt0035238/
"Now, Voyager",7.9,1942,Bette Davis; Paul Henreid; Claude Rains; Gladys Cooper,English;Portuguese,117,https://www.imdb.com//title/tt0035140/
The Ox-Bow Incident,8.0,1942,Henry Fonda; Dana Andrews; Mary Beth Hughes; Anthony Quinn,English;Spanish,75,https://www.imdb.com//title/tt0036244/
Spionnage in het spel,8.2,1942,Carole Lombard; Jack Benny; Robert Stack; Felix Bressart,English;German,99,https://www.imdb.com//title/tt0035446/
Casablanca,8.5,1942,Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains,English;French;German;Italian,102,https://www.imdb.com//title/tt0034583/
Shadow of a Doubt,7.8,1943,Teresa Wright; Joseph Cotten; Macdonald Carey; Henry Travers,English,108,https://www.imdb.com//title/tt0036342/
Arsenicum en oude kant,7.9,1943,Cary Grant; Priscilla Lane; Raymond Massey; Jack Carson,English;German,118,https://www.imdb.com//title/tt0036613/
Le corbeau,7.9,1943,Pierre Fresnay; Ginette Leclerc; Micheline Francey; Héléna Manson,French,92,https://www.imdb.com//title/tt0035753/
De dag des oordeels,8.1,1943,Thorkild Roose; Lisbeth Movin; Sigrid Neiiendam; Kirsten Andreasen,Danish,97,https://www.imdb.com//title/tt0036506/
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey; Deborah Kerr; Anton Walbrook; James McKechnie,English;French;German,163,https://www.imdb.com//title/tt0036112/
Double Indemnity,8.3,1944,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson; Byron Barr,English,107,https://www.imdb.com//title/tt0036775/
Laura,7.9,1944,Gene Tierney; Dana Andrews; Clifton Webb; Vincent Price,English,88,https://www.imdb.com//title/tt0037008/
Avontuur op Martinique,7.8,1944,Humphrey Bogart; Lauren Bacall; Walter Brennan; Dolores Moran,English;French,100,https://www.imdb.com//title/tt0037382/
De belhamel,7.7,1944,Heinz Rühmann; Karin Himboldt; Hilde Sessak; Erich Ponto,German,97,https://www.imdb.com//title/tt0036818/
Gaslicht,7.8,1944,Charles Boyer; Ingrid Bergman; Joseph Cotten; May Whitty,English;Italian,114,https://www.imdb.com//title/tt0036855/
Roma città aperta,8.0,1945,Anna Magnani; Aldo Fabrizi; Marcello Pagliero; Vito Annichiarico,Italian;German;Latin,103,https://www.imdb.com//title/tt0038890/
Er groeit een boom in Brooklyn,8.0,1945,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan,English,129,https://www.imdb.com//title/tt0038190/
