title,rating,year,actors,runtime,url
Little Baby,8.7,2019,Priyanshu Chatterjee; Gulnaz Siganporia; Shivani Mahajan; Ravi Khanna,105,https://www.imdb.com//title/tt8569206/
Jersey,8.6,2019,Nani; Shraddha Srinath; Sathyaraj; Harish Kalyan,157,https://www.imdb.com//title/tt8948790/
Kumbalangi Nights,8.6,2019,Shane Nigam; Soubin Shahir; Fahadh Faasil; Sreenath Bhasi,135,https://www.imdb.com//title/tt8413338/
Gisaengchung,8.5,2019,Kang-ho Song; Sun-kyun Lee; Yeo-jeong Cho; Choi Woo-sik,132,https://www.imdb.com//title/tt6751668/
Kaithi,8.5,2019,Karthi; Narain; Ramana; George Maryan,145,https://www.imdb.com//title/tt9900782/
Peranbu,9.1,2018,Mammootty; Sadhana; Anjali; Anjali Ameer,147,https://www.imdb.com//title/tt7738784/
C/o Kancharapalem,8.9,2018,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,https://www.imdb.com//title/tt7391996/
Pariyerum Perumal,8.8,2018,Kathir; Anandhi; Yogi Babu; Lijeesh,154,https://www.imdb.com//title/tt8176054/
Avengers: Infinity War,8.5,2018,Robert Downey Jr.; Chris Hemsworth; Mark Ruffalo; Chris Evans,149,https://www.imdb.com//title/tt4154756/
Mahanati,8.5,2018,Keerthy Suresh; Dulquer Salmaan; Samantha Ruth Prabhu; Vijay Deverakonda,177,https://www.imdb.com//title/tt7465992/
Aloko Udapadi,9.3,2017,Uddika Premarathna; Dilhani Ekanayake; Roshan Ravindra; Menaka Peiris,113,https://www.imdb.com//title/tt5963218/
Ayla: The Daughter of War,8.4,2017,Çetin Tekindor; Ismail Hacioglu; Kyung-jin Lee; Kim Seol,125,https://www.imdb.com//title/tt6316138/
Coco,8.4,2017,Anthony Gonzalez; Gael García Bernal; Benjamin Bratt; Alanna Ubach,105,https://www.imdb.com//title/tt2380307/
Vikram Vedha,8.3,2017,Madhavan; Vijay Sethupathi; Shraddha Srinath; Kathir,147,https://www.imdb.com//title/tt6148156/
Baahubali 2: The Conclusion,8.3,2017,Prabhas; Rana Daggubati; Anushka Shetty; Tamannaah Bhatia,167,https://www.imdb.com//title/tt4849438/
Aynabaji,9.2,2016,Chanchal Chowdhury; Masuma Rahman Nabila; Partha Barua; Lutfur Rahman George,147,https://www.imdb.com//title/tt5354160/
Natsamrat,8.9,2016,Nana Patekar; Medha Manjrekar; Mrunmayee Deshpande; Sunil Barve,166,https://www.imdb.com//title/tt5311546/
Dag II,8.7,2016,Caglar Ertugrul; Ufuk Bayraktar; Ahu Türkpençe; Murat Serezli,135,https://www.imdb.com//title/tt5813916/
Aruvi,8.5,2016,Aditi Balan; Padmashri Mohammad Ali; Pradeep Anthony; Arnold,130,https://www.imdb.com//title/tt5867800/
Sairat,8.4,2016,Rinku Rajguru; Akash Thosar; Arbaz Shaikh; Tanaji Galgunde,174,https://www.imdb.com//title/tt5312232/
Bizim Hikaye,9.0,2015,Cansel Elcin; Luk Piyes; Sera Tokdemir; Naz Elmas,97,https://www.imdb.com//title/tt4558362/
Visaaranai,8.5,2015,Dinesh; Samuthirakani; Anandhi; Murugadass,117,https://www.imdb.com//title/tt4991384/
RangiTaranga,8.4,2015,Nirup Bhandari; Radhika Narayan; Avantika Shetty; Sai Kumar,149,https://www.imdb.com//title/tt4432480/
Uppi 2,8.4,2015,Upendra; Kristina Akheeva; Parul Yadav; Sayaji Shinde,135,https://www.imdb.com//title/tt4833824/
Thani Oruvan,8.4,2015,Jayam Ravi; Arvind Swamy; Nayanthara; Nassar,160,https://www.imdb.com//title/tt4987556/
Wheels,8.6,2014,Donavon Warren; Patrick Hume; Diana Gettinger; Kevin McCorkle,115,https://www.imdb.com//title/tt2170667/
Interstellar,8.6,2014,Matthew McConaughey; Anne Hathaway; Jessica Chastain; Mackenzie Foy,169,https://www.imdb.com//title/tt0816692/
Whiplash,8.5,2014,Miles Teller; J.K. Simmons; Melissa Benoist; Paul Reiser,106,https://www.imdb.com//title/tt2582802/
Ulidavaru Kandanthe,8.5,2014,Kishore Kumar G.; Rakshit Shetty; Thara; Achyuth Kumar,154,https://www.imdb.com//title/tt3394420/
Chaar Sahibzaade,8.3,2014,Om Puri; Harman Baweja,135,https://www.imdb.com//title/tt4168188/
Lucia,8.4,2013,Sathish Neenasam; Sruthi Hariharan; Achyuth Kumar; Sabreen Baker,135,https://www.imdb.com//title/tt2358592/
Vishwaroopam,8.3,2013,Pooja Kumar; Miles Anderson; Kamal Haasan; Rahul Bose,148,https://www.imdb.com//title/tt2199711/
Soodhu Kavvum,8.3,2013,Vijay Sethupathi; Sanchita Shetty; Radha Ravi; M.S. Bhaskar,135,https://www.imdb.com//title/tt2877108/
Drishyam,8.3,2013,Mohanlal; Meena; Asha Sharath; Ansiba,160,https://www.imdb.com//title/tt3417422/
Bhaag Milkha Bhaag,8.2,2013,Farhan Akhtar; Japtej Singh; Divya Dutta; Pawan Malhotra,186,https://www.imdb.com//title/tt2356180/
The Dark Knight Rises,8.4,2012,Christian Bale; Tom Hardy; Anne Hathaway; Gary Oldman,164,https://www.imdb.com//title/tt1345836/
Miss Lovely,8.4,2012,Nawazuddin Siddiqui; Niharika Singh; Anil George; Zeena Bhatia,113,https://www.imdb.com//title/tt1629715/
Django Unchained,8.4,2012,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio; Kerry Washington,165,https://www.imdb.com//title/tt1853728/
Jagten,8.3,2012,Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp; Lasse Fogelstrøm,115,https://www.imdb.com//title/tt2106476/
Gangs of Wasseypur,8.2,2012,Manoj Bajpayee; Richa Chadha; Nawazuddin Siddiqui; Tigmanshu Dhulia,321,https://www.imdb.com//title/tt1954470/
Love on a Leash,8.8,2011,Gloria Winship Ayon; Shane Ayon; Jana Camp; Stephen Kramer Glickman,90,https://www.imdb.com//title/tt2185022/
Kill Bill: The Whole Bloody Affair,8.8,2011,Uma Thurman; Vivica A. Fox; Michael Madsen; Daryl Hannah,247,https://www.imdb.com//title/tt6019206/
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,Ramin Karimloo; Sierra Boggess; Hadley Fraser; Wendy Ferguson,137,https://www.imdb.com//title/tt2077886/
The Intouchables,8.5,2011,François Cluzet; Omar Sy; Anne Le Ny; Audrey Fleurot,112,https://www.imdb.com//title/tt1675434/
A Separation,8.3,2011,Payman Maadi; Leila Hatami; Sareh Bayat; Shahab Hosseini,123,https://www.imdb.com//title/tt1832382/
Les Misérables in Concert: The 25th Anniversary,8.8,2010,Alfie Boe; Norm Lewis; Matt Lucas; Jenny Galloway,178,https://www.imdb.com//title/tt1754109/
Inception,8.8,2010,Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page; Ken Watanabe,148,https://www.imdb.com//title/tt1375666/
Toy Story 3,8.3,2010,Tom Hanks; Tim Allen; Joan Cusack; Ned Beatty,103,https://www.imdb.com//title/tt0435761/
Incendies,8.3,2010,Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette; Mustafa Kamel,131,https://www.imdb.com//title/tt1255953/
Pranchiyettan and the Saint,8.3,2010,Jesse Fox Allen; Innocent; Mammootty; Biju Menon,140,https://www.imdb.com//title/tt1695800/
Monpura,8.8,2009,Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,https://www.imdb.com//title/tt1621830/
3 Idiots,8.4,2009,Aamir Khan; Madhavan; Mona Singh; Sharman Joshi,170,https://www.imdb.com//title/tt1187043/
Inglourious Basterds,8.3,2009,Brad Pitt; Diane Kruger; Eli Roth; Mélanie Laurent,153,https://www.imdb.com//title/tt0361748/
Up,8.3,2009,Edward Asner; Jordan Nagai; John Ratzenberger; Christopher Plummer,96,https://www.imdb.com//title/tt1049413/
El secreto de sus ojos,8.2,2009,Ricardo Darín; Soledad Villamil; Pablo Rago; Carla Quevedo,129,https://www.imdb.com//title/tt1305806/
The Dark Knight,9.0,2008,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,https://www.imdb.com//title/tt0468569/
WALL·E,8.4,2008,Ben Burtt; Elissa Knight; Jeff Garlin; Fred Willard,98,https://www.imdb.com//title/tt0910970/
Vaaranam Aayiram,8.3,2008,Suriya; Simran; Ramya; Sameera Reddy,169,https://www.imdb.com//title/tt1180583/
A Wednesday,8.1,2008,Anupam Kher; Naseeruddin Shah; Virendra Saxena; Mahesh Kanual,104,https://www.imdb.com//title/tt1280558/
Aasef ala el-iz'ag,8.1,2008,Fares Bakr; Ahmed Helmy; Menna Shalabi; Mahmoud Hemida,116,https://www.imdb.com//title/tt1282371/
